No,Growth_rate_of_total_assets_1,positive_count_1,negative_count_1,Median number of shares purchased_1,Med_purchase_num_1,Max_purchase_num_1,Total number of shares purchased_1,Med stock price at time of purchase_1,Med stock price change rate at time of purchase_1,Med number of shares sold_1,Med_disposal_num_1,Max_disposal_num_1,Total number of shares sold_1,Med stock price at time of sale_1,Med stock price change rate at time of sale_1,Growth_rate_of_total_assets_2,positive_count_2,negative_count_2,Median number of shares purchased_2,Med_purchase_num_2,Max_purchase_num_2,Total number of shares purchased_2,Med stock price at time of purchase_2,Med stock price change rate at time of purchase_2,Med number of shares sold_2,Med_disposal_num_2,Max_disposal_num_2,Total number of shares sold_2,Med stock price at time of sale_2,Med stock price change rate at time of sale_2,Growth_rate_of_total_assets_3,positive_count_3,negative_count_3,Median number of shares purchased_3,Med_purchase_num_3,Max_purchase_num_3,Total number of shares purchased_3,Med stock price at time of purchase_3,Med stock price change rate at time of purchase_3,Med number of shares sold_3,Med_disposal_num_3,Max_disposal_num_3,Total number of shares sold_3,Med stock price at time of sale_3,Med stock price change rate at time of sale_3,Growth_rate_of_total_assets_4,positive_count_4,negative_count_4,Median number of shares purchased_4,Med_purchase_num_4,Max_purchase_num_4,Total number of shares purchased_4,Med stock price at time of purchase_4,Med stock price change rate at time of purchase_4,Med number of shares sold_4,Med_disposal_num_4,Max_disposal_num_4,Total number of shares sold_4,Med stock price at time of sale_4,Med stock price change rate at time of sale_4
1,7.942773952,5,6,0,100,100,500,2168,-20.76057431,0,100,200,700,2952.5,44.93027332,5.679689591,1,3,0,100,100,100,7652,-23.09547739,0,100,100,300,7517,30.57296329,24.87621649,5,3,0,100,100,500,1627,-13.64617044,0,300,300,700,3244,19.30856933,11.65548994,4,3,0,100,100,400,4618,-9.679936486,0,100,100,300,6282,6.622094874
2,30.32924576,9,9,0,100,800,1900,2042,-20.76057431,0,100,1100,2100,2984,35.89618022,9.903220052,3,3,0,100,100,300,8668,-0.916997542,0,100,100,300,9931,14.57083526,20.35456149,6,3,0,100,600,1100,2104,-12.40230322,0,600,600,1300,3244,28.91363023,56.13051747,7,8,0,200,700,1800,4581,-8.544619685,0,200,500,2000,5781,11.8193787
3,9.782182653,4,3,0,150,300,700,2353.5,-11.31769412,0,300,400,900,3328,39.61332785,54.38408706,2,3,0,350,500,700,6352.5,-18.41868441,0,200,500,800,7989,9.513365319,14.34465881,3,2,0,200,500,900,2471,20.63941724,0,550,600,1100,3109,13.92435766,31.13802422,3,2,0,200,400,800,4455,-10.8465079,0,300,300,600,6490,4.509091447
4,35.31272748,10,6,0,200,500,2600,2267.5,-12.57851915,0,400,1000,2800,2504,20.55499004,66.06680938,8,7,0,200,500,1800,8238,-14.43889103,0,300,500,1900,9931,21.00104548,54.27961474,9,7,0,200,300,1800,2681,-4.932182491,0,200,500,1700,2974,20.63941724,5.043262298,4,5,0,200,300,1100,4781,-14.42288049,0,300,500,1300,5427,13.0458817
5,10.778879,5,3,0,100,300,700,1970,-18.17343173,0,100,100,300,2867,23.71747212,75.63999643,9,11,0,300,500,3300,8936,1.605907865,0,200,500,3000,9931,6.695118698,38.83956519,4,6,0,500,500,1800,2296,-18.20494849,0,350,500,2000,2953,19.97399328,72.12991693,3,5,0,800,1000,2300,4455,-10.8465079,0,500,500,2500,6135,10.91633466
6,48.25858111,6,8,0,350,800,2400,2069,-21.86397254,0,200,1000,2600,2958.5,29.80682617,42.45383998,1,1,0,200,200,200,5053,-13.74189143,0,400,400,400,10997,39.76868327,10.31529224,6,7,0,400,500,2100,1825,-16.75929719,0,300,500,2300,2740,25.26121696,15.07356621,5,2,0,100,200,600,4455,-8.513365068,0,100,100,200,6490,4.509091447
7,36.51660227,10,8,0,300,400,3000,2633.5,3.291977172,0,300,700,2800,2634,11.84077846,67.31558291,6,7,0,250,500,1500,7031.5,-19.96556862,0,200,500,1700,8341,14.57083526,8.735985431,2,4,0,300,400,600,2091,-24.30923004,0,150,400,800,2977.5,17.76818546,19.02712441,2,5,0,250,300,500,4577,-15.23055612,0,100,200,700,5427,6.945036216
8,69.09121451,5,2,0,100,1000,1800,2217,-2.385786802,0,1000,1000,2000,3262,51.18991925,20.53340469,3,4,0,100,300,500,7652,-21.0724872,0,150,300,700,8963.5,30.38486438,31.03693586,8,8,0,200,500,1800,2098,-13.39107308,0,200,800,2000,2800.5,19.97399328,48.19587629,6,6,0,250,500,1700,4637.5,-11.43075161,0,200,300,1200,6208.5,12.54855256
9,100.3919592,8,6,0,500,1000,3700,1970,-20.76057431,0,450,1000,2600,2879.5,37.75475403,20.89242708,4,4,0,100,100,400,7798.5,-18.41868441,0,150,200,600,9459.5,8.828469287,36.40657902,4,6,0,350,1000,1800,2296,-18.20494849,0,300,500,2000,2836,18.43360942,78.65078571,5,7,0,500,1000,2300,4581,-10.8465079,0,400,800,2600,5427,12.05122342
10,50.19877933,5,6,0,300,500,1600,1970,-21.8540712,0,300,500,1800,2952.5,37.75475403,25.83177237,3,4,0,100,200,400,5858,-21.0724872,0,150,200,600,8800,25.78700439,13.38853793,3,4,0,100,100,300,1627,-25.33272143,0,100,200,500,2953,17.34032317,9.633670303,5,1,0,100,200,600,4455,-8.544619685,0,100,100,100,5062,8.208636169
